app_id,franchise_name,steamdb_score,pub_link,dev_link
623810,NA,68.32%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Viacheslav+Bushuev,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Viacheslav+Bushuev
623840,NA,72.91%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Tr%C3%A4umendes+M%C3%A4dchen,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Tr%C3%A4umendes+M%C3%A4dchen
558320,NA,68.85%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Zero+Degrees+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Zero+Degrees+Games
689400,NA,76.27%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Tzar+Leonardi,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Tzar+Leonardi
427270,2/name Orcs Must Die!,67.06%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Robot+Entertainment,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Robot+Entertainment
623940,2/name Homestuck Universe,89.78%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=What+Pumpkin+Games%2C+Inc.,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=What+Pumpkin+Games%2C+Inc.
460140,NA,79.32%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Orrery+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Orrery+Games
525700,NA,59.37%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=NIS+America%2C+Inc.,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Arc+System+Works
755150,NA,76.70%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Screenhit+Studios,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Screenhit+Studios
427490,2/name Grey Alien Games,78.16%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Positech+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Grey+Alien+Games
689650,NA,52.22%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Paradise+Project,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=MagicHouse
591350,NA,66.65%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=N%C3%A9o-Riki+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=N%C3%A9o-Riki+Games
591380,NA,79.72%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Systemic+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Systemic+Games
493080,NA,83.28%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Plug+In+Digital,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=WinterSpring+Games
656970,3/name Toge Productions,84.84%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Toge+Productions,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Kucing+Rembes
525920,NA,68.54%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Focus+Home+Interactive,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Cyanide+Studio
657010,NA,74.03%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=ATC+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=ATC+Games
493180,NA,72.30%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Kaia+Studios,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Kaia+Studios
460430,2/name Yangyang Mobile,84.87%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Yangyang+Mobile,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Yangyang+Mobile
493220,NA,68.30%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Goatee+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Goatee+Games
558790,2/name AM Hidden Object Games,80.72%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Artifex+Mundi,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Brave+Giant+LTD
689900,2/name Buka Entertainment,85.71%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Buka+Entertainment,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Epic+LLama
689910,3/name Lost Phone,85.78%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Dear+Villagers,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Accidental+Queens
722750,NA,50.00%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Ugamehome,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Ugamehome
624460,NA,88.53%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=HelloEnjoy,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=HelloEnjoy
526180,NA,50.46%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Square+Enix,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Eidos+Montreal
657260,NA,71.87%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=%E3%81%84%E3%81%8F%E3%81%A1%E3%81%8A%E3%81%99%E3%81%A6%E3%81%94,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=%E3%81%84%E3%81%8F%E3%81%A1%E3%81%8A%E3%81%99%E3%81%A6%E3%81%94
591740,NA,47.28%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Gameloft,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Gameloft
657440,NA,73.71%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=K+Bros+Games,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Tapinator
624680,NA,58.33%,https://steamdb.info/search/?a=app_keynames&keyname=241&operator=3&keyvalue=Thalamus+Digital,https://steamdb.info/search/?a=app_keynames&keyname=23&operator=3&keyvalue=Xiotex+Studios+Ltd
